reads,avg_candidates,total_clusters,total_buckets,avg_bucket_size,max_bucket_size,worstKmer
8470000,8,4534626,21894464,1.0,2213,1152921504606846975
8480000,7,4539085,21915562,1.0,2216,1152921504606846975
8490000,8,4543571,21936860,1.0,2218,1152921504606846975
8500000,7,4548009,21957835,1.0,2220,1152921504606846975
8510000,8,4552578,21979601,1.0,2221,1152921504606846975
8520000,6,4557032,22000844,1.0,2223,1152921504606846975
8530000,6,4561502,22022016,1.0,2230,1152921504606846975
8540000,6,4565932,22042998,1.0,2231,1152921504606846975
8550000,6,4570471,22064558,1.0,2233,1152921504606846975
8560000,6,4574898,22085615,1.0,2236,1152921504606846975
8570000,8,4579349,22106691,1.0,2237,1152921504606846975
8580000,6,4583903,22128221,1.0,2238,1152921504606846975
8590000,7,4588338,22149161,1.0,2238,1152921504606846975
8600000,7,4592740,22170057,1.0,2240,1152921504606846975
8610000,6,4597089,22190751,1.0,2241,1152921504606846975
8620000,7,4601527,22211702,1.0,2247,1152921504606846975
8630000,8,4605860,22232220,1.0,2250,1152921504606846975
8640000,6,4610250,22253100,1.0,2251,1152921504606846975
8650000,7,4614729,22274319,1.0,2252,1152921504606846975
8660000,6,4619051,22294812,1.0,2252,1152921504606846975
8670000,6,4623491,22315926,1.0,2252,1152921504606846975
8680000,6,4628004,22337331,1.0,2254,1152921504606846975
